Test Code,QC Code,DATE,17OP,PROG,TESTMS,ANDRO,11DESC,DOC,CORTMS,17PRE,TYR,PHE
PATY,C-PATY1,8/13/2021,,,,,,,,,53,43.48377724
PATY,C-PATY2,8/13/2021,,,,,,,,,458,463.7748184
PATY,C-PATY3,8/13/2021,,,,,,,,,1270,1274.794189
PATY,C-PATY1,8/14/2021,,,,,,,,,56.2,46.768523
PATY,C-PATY2,8/14/2021,,,,,,,,,386,384.7845036
PATY,C-PATY3,8/14/2021,,,,,,,,,1390,1360.823245
PATY,C-PATY1,8/15/2021,,,,,,,,,55.9,46.45569007
PATY,C-PATY2,8/15/2021,,,,,,,,,396,389.4769976
PATY,C-PATY3,8/15/2021,,,,,,,,,1350,1321.719128
PATY,C-PATY1,8/18/2021,,,,,,,,,54.2,45.28256659
PATY,C-PATY2,8/18/2021,,,,,,,,,413,409.0290557
PATY,C-PATY3,8/18/2021,,,,,,,,,1360,1321.719128
PATY,C-PATY1,8/19/2021,,,,,,,,,55.6,45.59539952
PATY,C-PATY2,8/19/2021,,,,,,,,,410,419.9782082
PATY,C-PATY3,8/19/2021,,,,,,,,,1290,1235.690073
PATY,C-PATY1,8/21/2021,,,,,,,,,53,42.23244552
PATY,C-PATY2,8/21/2021,,,,,,,,,386,395.7336562
PATY,C-PATY3,8/21/2021,,,,,,,,,1400,1329.539952
CAH6,C-CAH1,8/21/2021,3.33,6.74,5.84,5.36,4.99,4.83,,,,
CAH6,C-CAH1,8/21/2021,3.79,6.55,6.5,6.19,5.64,5.42,,,,
CAH6,C-CAH2,8/21/2021,107,148,159,154,145,143,2.83,971,,
CAH6,C-CAH2,8/21/2021,111,145,162,149,144,144,2.86,956,,
CAH6,C-CAH3,8/21/2021,1310,1700,1750,1750,1630,1630,30.4,10200,,
CAH6,C-CAH3,8/21/2021,1330,1800,1830,1830,1670,1720,31.7,10800,,
CAH6,C-CAH1,8/25/2021,4.17,6.24,7.45,7.17,5.7,6.22,,,,
CAH6,C-CAH1,8/25/2021,4.25,5.26,7.92,7,6.24,6.6,,,,
CAH6,C-CAH2,8/25/2021,117,163,167,154,150,137,2.97,1090,,
CAH6,C-CAH2,8/25/2021,121,155,169,153,146,147,3,1020,,
CAH6,C-CAH3,8/25/2021,1180,1620,1690,1530,1510,1460,29.1,10300,,
CAH6,C-CAH3,8/25/2021,1190,1580,1620,1430,1590,1440,29.9,10000,,
CAH6,C-CAH1,8/26/2021,3.41,7.45,5.72,7.26,5.32,4.78,,,,
CAH6,C-CAH1,8/26/2021,4.07,6.12,6.65,6.86,5.77,5.11,,,,
CAH6,C-CAH1,8/26/2021,4.14,6.19,6.71,7.16,5.66,4.16,,,,
CAH6,C-CAH1,8/26/2021,5.15,7.32,5.39,6.35,5.76,5.37,,,,
CAH6,C-CAH2,8/26/2021,116,167,162,157,156,148,2.93,1020,,
CAH6,C-CAH2,8/26/2021,118,147,158,152,144,145,2.84,998,,
CAH6,C-CAH2,8/26/2021,119,162,168,157,155,141,2.91,1060,,
CAH6,C-CAH2,8/26/2021,127,165,166,158,156,149,2.89,1060,,
CAH6,C-CAH3,8/26/2021,1120,1580,1680,1560,1500,1500,29.2,10200,,
